key,time_1,quality_1,time_2,quality_2
10_100_2,0.010758084000000001,8.6,0.01654199,8.7
10_100_4,0.0156463,6.2,0.02168457,6.3
10_200_2,0.017391403,10.3,0.02081912,10.3
10_200_4,0.0167666,6.2,0.023297210000000002,6.1
10_500_2,0.009165559,9.5,0.04558997,9.5
10_500_4,0.018687679999999998,6.1,0.03297741,6.1
10_50_2,0.013251269999999999,9.1,0.013622832,9.1
10_50_4,0.014967939999999999,6.0,0.01705907,6.0
2_100_2,0.07469897,72.8,0.16997320999999999,72.7
2_100_4,0.07684304,61.7,0.1647083,61.7
2_200_2,0.3296656,136.9,1.0799874,138.9
2_200_4,0.3947917,125.1,0.9787734,122.5
2_500_2,3.1561369999999997,272.1,14.580798,275.9
2_500_4,3.0259992,299.3,9.984602,286.5
2_50_2,0.006316068,37.7,0.009191346,37.7
2_50_4,0.014924306,30.1,0.023632415,30.1
3_100_2,0.22933795,58.5,0.42177225,58.5
3_100_4,0.4570413,48.5,0.7791285000000001,48.2
3_200_2,0.99261691,89.7,3.7864111000000005,90.4
3_200_4,4.984694,97.6,11.933721,96.9
3_500_2,0.64728422,105.4,4.9296527,96.0
3_500_4,9.839767,195.5,49.13412100000001,196.3
3_50_2,0.012234476000000001,31.2,0.021927375000000002,31.2
3_50_4,0.018474556,22.9,0.02703962,22.9
5_100_2,0.030587749999999997,22.3,0.040609089999999994,22.1
5_100_4,0.04041482999999999,22.1,0.0712473,22.1
5_200_2,0.02236581,26.4,0.08145680999999999,26.6
5_200_4,0.04856475,25.7,0.11090180999999999,25.7
5_500_2,0.03348133,27.9,0.20531107,27.9
5_500_4,0.043251670000000006,27.1,0.18470297,27.1
5_50_2,0.014915293000000001,20.0,0.02877434,20.0
5_50_4,0.0236139,15.3,0.02941757,15.3
