,m,n,sigma,quality_limsbs,quality_imsbs
0,2,100,2,72.2,72.8
1,2,100,4,59.7,61.7
2,2,200,2,138.5,136.9
3,2,200,4,120.7,125.1
4,2,50,2,37.7,37.7
5,2,50,4,30.1,30.1
6,2,500,2,289.1,272.1
7,2,500,4,286.0,299.3
8,3,100,2,58.1,58.5
9,3,100,4,47.9,48.5
10,3,200,2,98.8,105.9
11,3,200,4,94.4,97.6
12,3,50,2,31.2,31.2
13,3,50,4,22.9,22.9
14,3,500,2,123.5,142.3
15,3,500,4,207.5,234.1
16,5,100,2,28.5,32.8
17,5,100,4,23.2,27.8
18,5,200,2,35.4,40.8
19,5,200,4,30.0,37.8
20,5,50,2,20.5,20.5
21,5,50,4,15.1,15.3
22,5,500,2,31.6,37.1
23,5,500,4,38.4,40.8
24,10,100,2,9.2,11.3
25,10,100,4,7.6,8.1
26,10,200,2,10.8,12.6
27,10,200,4,6.9,7.9
28,10,50,2,9.6,11.6
29,10,50,4,6.3,7.4
30,10,500,2,10.9,12.8
31,10,500,4,7.3,8.4
