heuristic,beam_width,mean,std,min,Q1,median,Q3,max
dp2,0,81.95,46.226936530738755,28,38.0,70.5,127.25,161
h2,10,27.4375,27.307872981582488,2,6.75,19.0,38.0,159
h2,100,30.666666666666668,30.797444151232046,2,6.75,20.0,43.0,158
h2,500,32.05833333333333,33.039293414728036,2,6.75,20.0,43.25,158
h5,10,29.395833333333332,31.13389869319638,2,6.0,19.0,38.0,159
h5,100,32.0,33.74839218237511,2,6.0,20.0,42.25,159
h5,500,33.104166666666664,35.37417419727944,2,6.0,20.0,44.75,159
h8,10,26.0,26.961152899873856,2,6.0,17.5,35.0,152
h8,100,27.991666666666667,29.001080872465245,2,6.0,19.0,38.25,152
h8,500,29.179166666666667,29.675461865985397,2,6.0,19.5,40.0,145
